Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,ID
2,11,Non-union,2,5,182,8,182,100.0,0.625,0.208399,1.874412,0.0,0.0,0,1.0,0.0,0.838743,0.401614,subgroup:437207572060156108
2,11,Loss of fixation,3,1,127,0,130,100.0,3.0,0.125133,71.92321,0.0,0.0,0,1.0,0.0,0.677762,0.497923,subgroup:437527475864597131
2,11,Loss of reduction,4,0,111,0,111,,,,,,,,,,,,subgroup:437527475864859279
2,11,Fixation/implant failure,5,1,56,0,57,100.0,3.096774,0.131086,73.158406,0.0,0.0,0,1.0,0.0,0.700595,0.483556,subgroup:437527475864859286
2,11,Refracture of the lateral malleolus,6,1,50,0,50,100.0,3.0,0.125133,71.92321,0.0,0.0,0,1.0,0.0,0.677762,0.497923,subgroup:437527475865121442
2,11,DVT,7,3,307,6,297,100.0,0.599524,0.13886,2.588437,0.174621,2.205513,2,0.331955,9.318143,0.685563,0.492989,subgroup:437207572060156106
2,11,Pulmonary embolism,8,1,209,2,210,100.0,0.630454,0.078762,5.046507,0.0,0.247637,1,0.618744,0.0,0.434691,0.663787,subgroup:437207572060418258
2,11,Deep infection,9,6,166,0,164,100.0,6.378379,0.795008,51.173973,0.0,0.113841,1,0.735812,0.0,1.74404,0.081152,subgroup:437527475864334976
2,11,Wound dehiscence,10,4,143,1,145,100.0,2.503226,0.337868,18.546087,0.0,0.914755,1,0.338856,0.0,0.898009,0.369181,subgroup:437527475864597124
2,11,Low grade/superficial infection,11,32,318,18,309,100.0,1.644945,0.916746,2.951575,0.0,7.529567,8,0.480716,0.0,1.66855,0.095207,subgroup:437527475864334967
2,11,Wound healing complications,12,5,93,2,93,100.0,2.283645,0.466373,11.182118,0.0,0.134032,1,0.714288,0.0,1.018849,0.308275,subgroup:437527475864597127
2,11,Local skin necrosis,13,1,50,0,50,100.0,3.0,0.125133,71.92321,0.0,0.0,0,1.0,0.0,0.677762,0.497923,subgroup:437527475865121440
2,11,Pressure sore/ulcer,14,5,182,8,182,100.0,0.625,0.208399,1.874412,0.0,0.0,0,1.0,0.0,0.838743,0.401614,subgroup:437207572060418260
2,11,Dystrophy,15,0,42,0,36,,,,,,,,,,,,subgroup:437527475864859284
2,11,Numbness at side of foot,16,42,182,50,182,100.0,0.84,0.588941,1.198082,0.0,0.0,0,1.0,0.0,0.962405,0.335846,subgroup:437207572060418256
2,11,Skin irritation,17,2,50,1,50,100.0,2.0,0.187292,21.357024,0.0,0.0,0,1.0,0.0,0.573653,0.566203,subgroup:437527475865121434
2,11,Dysesthesia of the skin,18,3,50,1,50,100.0,3.0,0.322919,27.870748,0.0,0.0,0,1.0,0.0,0.966027,0.334031,subgroup:437527475865121436
2,11,Chronic allodynia,19,1,50,0,50,100.0,3.0,0.125133,71.92321,0.0,0.0,0,1.0,0.0,0.677762,0.497923,subgroup:437527475865121438
2,12,Unplanned return to theatre,1,2,153,2,152,100.0,0.993464,0.141759,6.962313,0.0,0.0,0,1.0,0.0,0.006601,0.994733,subgroup:437207572060680411
2,12,Non-union,2,5,233,4,236,100.0,1.24183,0.33997,4.536107,0.0,0.0,0,1.0,0.0,0.327678,0.743155,subgroup:437207572060680409
2,12,Loss of congruity,3,0,80,0,84,,,,,,,,,,,,subgroup:437529497155015673
2,12,Nerve compression,4,2,80,1,84,100.0,2.1,0.194191,22.709551,0.0,0.0,0,1.0,0.0,0.610778,0.541346,subgroup:437529497155277819
2,12,DVT,5,1,252,10,254,100.0,0.202009,0.04405,0.926387,0.0,0.464781,2,0.792637,0.0,2.058367,0.039555,subgroup:437207572060418263
2,12,Pulmonary embolism,6,0,153,1,152,100.0,0.331169,0.013597,8.065955,0.0,0.0,0,1.0,0.0,0.678409,0.497513,subgroup:437207572060680415
2,12,Numbness at side of foot,7,11,153,13,152,100.0,0.840623,0.388856,1.817248,0.0,0.0,0,0.0,0.0,0.441376,0.658941,subgroup:437207572060680413
2,12,Pressure sore/ulcer,8,1,153,4,152,100.0,0.248366,0.028082,2.19664,0.0,0.0,0,1.0,0.0,1.252392,0.210427,subgroup:437207572060680417
2,12,Skin irritation/ulceration,9,1,99,2,102,100.0,0.746152,0.057547,9.674505,0.95085,1.384965,1,0.239257,27.796022,0.223988,0.822767,subgroup:437529497155277821
3,1,During initial fracture management period after surgical treatment,1,,,,,,,,,,,,,,,,subgroup:437103784620345939
3,1,After the initial fracture management period after either surgical or non-surgical treatment,3,,,,,,,,,,,,,,,,subgroup:437103784620608087
3,2,During initial fracture management period after surgical treatment,1,,,,,,,,,,,,,,,,subgroup:437441123473169466
3,2,After the initial fracture management period after either surgical or non-surgical treatment,2,,,,,,,,,,,,,,,,subgroup:437441123473431614
3,3,During initial fracture management period after surgical treatment,1,,,,,,,,,,,,,,,,subgroup:437441123473955907
3,3,After initial fracture management period after surgical or non-surgical treatment,2,,,,,,,,,,,,,,,,subgroup:437441123474218054
3,4,During initial fracture management period after surgical treatment,1,,,,,,,,,,,,,,,,subgroup:437123136219268085
3,4,After initial fracture management period after either surgical or non-surgical treatment,3,,,,,,,,,,,,,,,,subgroup:437123136219530232
3,5,During initial fracture management period after surgical treatment,1,,,,,,,,,,,,,,,,subgroup:437441123474742345
3,5,After initial fracture management period after either surgical or non-surgical treatment,2,,,,,,,,,,,,,,,,subgroup:437441123474742347
3,6,During initial fracture management period after surgical treatment,1,,,,,,,,,,,,,,,,subgroup:437441123475004496
3,6,After initial fracture managment period after either surgical or non-surgical treatment,2,,,,,,,,,,,,,,,,subgroup:437441123475266642
3,7,After initial fracture management period after either surgical or non-surgical treatment,3,,,,,,,,,,,,,,,,subgroup:437123136220054538
3,8,During initial fracture management period after surgical treatment,1,,,,,,,,,,,,,,,,subgroup:437123136220054542
3,8,After initial fracture management period after either surgical or non-surgical treatment,2,,,,,,,,,,,,,,,,subgroup:437123136220316689
3,9,During initial fracture management period after surgical treatment,1,,,,,,,,,,,,,,,,subgroup:437441123475266645
3,9,After initial fracture management period after either surgical or non-surgical treatment,2,,,,,,,,,,,,,,,,subgroup:437441123475528792
3,10,During initial fracture management period after surgical treatment,1,,,,,,,,,,,,,,,,subgroup:437441123476315227
3,11,After initial fracture management period after either surgical or non-surgical treatment,1,,,,,,,,,,,,,,,,subgroup:437123136220578846
3,12,Set screw breakage,2,,,,,,,,,,,,,,,,subgroup:437529497157637157
3,12,Loosening hem around large fragment screw,3,,,,,,,,,,,,,,,,subgroup:437529497157899305
3,12,Deep infection,4,,,,,,,,,,,,,,,,subgroup:437529497156850702
3,12,Low grade infection/superficial infection,5,,,,,,,,,,,,,,,,subgroup:437529497156588553
3,12,Supination trauma,6,,,,,,,,,,,,,,,,subgroup:437529497156588547
3,12,Sensitivity disorders,7,,,,,,,,,,,,,,,,subgroup:437529497156588549
3,12,Achilles tendon pain,8,,,,,,,,,,,,,,,,subgroup:437529497156588551
3,12,Neuropathic pain from hip to ankle,9,,,,,,,,,,,,,,,,subgroup:437529497156588556
3,12,Full body rash and pruritus,10,,,,,,,,,,,,,,,,subgroup:437529497156850705
3,12,Rheumatic episode,11,,,,,,,,,,,,,,,,subgroup:437529497156850707
3,12,Sacral burn,12,,,,,,,,,,,,,,,,subgroup:437529497156850709
3,12,Depression,13,,,,,,,,,,,,,,,,subgroup:437529497156850711
3,12,Metatarsal fracture (contralateral foot),14,,,,,,,,,,,,,,,,subgroup:437529497156850713
3,12,Scar impingement,16,,,,,,,,,,,,,,,,subgroup:437529497157375003
3,12,Pseudarthrosis of the tibia shaft,17,,,,,,,,,,,,,,,,subgroup:437529497157637149
3,12,Material fracture in pseudarthrosis treatment on the tibia shaft,18,,,,,,,,,,,,,,,,subgroup:437529497157637151
3,12,Syndesmosis insufficiency,19,,,,,,,,,,,,,,,,subgroup:437529497157637153
3,12,Neuritis in the head,20,,,,,,,,,,,,,,,,subgroup:437529497157637155
3,12,Tendinopathy M.tibialis posterior tendon,21,,,,,,,,,,,,,,,,subgroup:437529497157899303
3,12,Tear of the anterior cruciate ligament after a fall,22,,,,,,,,,,,,,,,,subgroup:437529497157899307
3,12,Wedge-shaped bone defect distal tibial joint surface ventral,23,,,,,,,,,,,,,,,,subgroup:437529497157899309
3,12,Subjective change in skin colour in ankle and foot,24,,,,,,,,,,,,,,,,subgroup:437529497157899311
3,12,Hardly adjustable hypertension,25,,,,,,,,,,,,,,,,subgroup:437529497157899313
3,13,Total adverse events (type not specified),1,,,,,,,,,,,,,,,,subgroup:437529497157899316
3,13,DVT,2,,,,,,,,,,,,,,,,subgroup:437529497158161464
3,13,Pain,3,,,,,,,,,,,,,,,,subgroup:439794905966003660
3,13,Recent falls (in previous 3 months),4,,,,,,,,,,,,,,,,subgroup:440447184261475339
3,13,Increase in pain,5,,,,,,,,,,,,,,,,subgroup:440447203818728486
3,13,Condition worsened,6,,,,,,,,,,,,,,,,subgroup:440447231742569807
4,1,End of treatment,1,,,,,,,,,,,,,,,,subgroup:440401523422025816
4,1,Short-term follow-up,2,,,,,,,,,,,,,,,,subgroup:440401554435758454
4,1,Long-term follow-up,3,,,,,,,,,,,,,,,,subgroup:440401587836312464
4,2,During initial fracture management period,1,,,,,,,,,,,,,,,,subgroup:437123136221365284
4,2,After initial fracture management period,2,,,,,,,,,,,,,,,,subgroup:437123136221365287
4,4,During immobilisation after surgical management,1,,,,,,,,,,,,,,,,subgroup:437213460338186844
5,1,During initial fracture management period after surgical management,1,,,,,,,,,,,,,,,,subgroup:440406349036667381
5,1,During initial fracture management period after non-surgical treatment,2,,,,,,,,,,,,,,,,subgroup:440406338890908147
5,2,Fracture displacement,1,,,,,,,,,,,,,,,,subgroup:437549802303721639
5,2,Skin irritation/ulceration,2,,,,,,,,,,,,,,,,subgroup:437549802303721641
